Messungen der Hall-Spannung/ Magnetfeldmessungen

------------------------------------------------
Datum: 2022_03_04
Version: v3.0-52-g9982156-dirty

Folgende Geräte werden verwendet:
---------------------------------
Gerät 1: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN61367122,02.11.2020062221
Gerät 2: KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b

Experiment Informationen:
Spulendurchmesser: 20 mm
Spulenwindungen:   60 je Spule
Vorwiderstand:     10 Ohm

Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Versorgungsspannung: 5 V
Strom-Limit:         200 mA

Voreinstellungen und Vormessung:
---------------------------
Start Amplitude:         12 V
Genutzte Funktion:       SIN
Keysight Channel (VRMS): 1
U_Hall_0:                2.3114 mV

Sollwert = 550.0 mV ± 1.0 mV --> Vpp Anpassung bei Abwweichung = 0.01 V
Messungen von 20000 Hz bis 20 Hz in -20 Hz Schritten

Frequenz [Hz]  Hall-Spannung [V]             Spannung (VRMS-AC) über R [V]      Amplitude Vpp (Gen_Out) [V]   
18020          0.0079163                     0.5492                             +10.8600E+00                  
18000          0.0079199                     0.5495                             +10.8600E+00                  
17980          0.0079325                     0.5495                             +10.8600E+00                  
17960          0.007932                      0.5497                             +10.8600E+00                  
17940          0.0079343                     0.5499                             +10.8600E+00                  
17920          0.0079438                     0.5499                             +10.8600E+00                  
17900          0.0079384                     0.5501                             +10.8600E+00                  
17880          0.0079382                     0.5506                             +10.8600E+00                  
17860          0.0079409                     0.5505                             +10.8600E+00                  
17840          0.0079449                     0.5506                             +10.8600E+00                  
17820          0.0079455                     0.5507                             +10.8600E+00                  
17800          0.0079603                     0.5508                             +10.8600E+00                  
17780          0.0079525                     0.5508                             +10.8600E+00                  
17760          0.0079648                     0.5509                             +10.8500E+00                  
17740          0.0079458                     0.5497                             +10.8200E+00                  
17720          0.0079442                     0.5498                             +10.8200E+00                  
17700          0.0079438                     0.5498                             +10.8200E+00                  
17680          0.0079491                     0.5501                             +10.8200E+00                  
17660          0.007945                      0.5503                             +10.8200E+00                  
17640          0.0079606                     0.5503                             +10.8200E+00                  
17620          0.0079632                     0.5504                             +10.8200E+00                  
17600          0.0079647                     0.5507                             +10.8200E+00                  
17580          0.0079677                     0.5507                             +10.8200E+00                  
17560          0.0079711                     0.5506                             +10.8200E+00                  
17540          0.0079735                     0.5509                             +10.8200E+00                  
17520          0.0079551                     0.5495                             +10.7900E+00                  
17500          0.0079528                     0.5493                             +10.7900E+00                  
17480          0.0079624                     0.5499                             +10.7900E+00                  
17460          0.0079619                     0.5499                             +10.7900E+00                  
17440          0.0079714                     0.5498                             +10.7900E+00                  
17420          0.0079687                     0.5498                             +10.7900E+00                  
17400          0.0079788                     0.55                               +10.7900E+00                  
17380          0.0079698                     0.5504                             +10.7900E+00                  
17360          0.0079762                     0.5501                             +10.7900E+00                  
17340          0.0079743                     0.5506                             +10.7900E+00                  
17320          0.0079813                     0.5506                             +10.7900E+00                  
17300          0.0079809                     0.5508                             +10.7900E+00                  
17280          0.0079938                     0.5509                             +10.7700E+00                  
17260          0.0079761                     0.5495                             +10.7600E+00                  
17240          0.0079809                     0.5498                             +10.7600E+00                  
17220          0.007984                      0.55                               +10.7600E+00                  
17200          0.0079806                     0.5502                             +10.7600E+00                  
17180          0.0079842                     0.55                               +10.7600E+00                  
17160          0.007988                      0.5502                             +10.7600E+00                  
17140          0.0079888                     0.5501                             +10.7600E+00                  
17120          0.0079967                     0.5504                             +10.7600E+00                  
17100          0.0080009                     0.5505                             +10.7600E+00                  
17080          0.0080065                     0.5509                             +10.7600E+00                  
17060          0.0080064                     0.5508                             +10.7600E+00                  
17040          0.0080069                     0.5508                             +10.7500E+00                  
17020          0.0080091                     0.5509                             +10.7400E+00                  
17000          0.0079992                     0.5495                             +10.7300E+00                  
16980          0.0079915                     0.5496                             +10.7300E+00                  
16960          0.007989                      0.5497                             +10.7300E+00                  
16940          0.0080074                     0.5497                             +10.7300E+00                  
16920          0.0080131                     0.5501                             +10.7300E+00                  
16900          0.0080102                     0.5498                             +10.7300E+00                  
16880          0.0080144                     0.5503                             +10.7300E+00                  
16860          0.0080141                     0.5504                             +10.7300E+00                  
16840          0.0080153                     0.5504                             +10.7300E+00                  
16820          0.0080164                     0.5508                             +10.7300E+00                  
16800          0.0080232                     0.5508                             +10.7300E+00                  
16780          0.0080316                     0.5508                             +10.7000E+00                  
16760          0.0080136                     0.5496                             +10.6900E+00                  
16740          0.0080136                     0.5495                             +10.6900E+00                  
16720          0.0080193                     0.5495                             +10.6900E+00                  
16700          0.0080214                     0.5498                             +10.6900E+00                  
16680          0.0080255                     0.55                               +10.6900E+00                  
16660          0.0080167                     0.5498                             +10.6900E+00                  
16640          0.0080267                     0.55                               +10.6900E+00                  
16620          0.0080293                     0.5503                             +10.6900E+00                  
16600          0.0080362                     0.5505                             +10.6900E+00                  
16580          0.0080375                     0.5502                             +10.6900E+00                  
16560          0.0080435                     0.5509                             +10.6800E+00                  
16540          0.0080479                     0.5508                             +10.6800E+00                  
16520          0.0080462                     0.5508                             +10.6800E+00                  
16500          0.0080244                     0.5492                             +10.6600E+00                  
16480          0.0080312                     0.5495                             +10.6600E+00                  
16460          0.0080309                     0.5496                             +10.6600E+00                  
16440          0.0080358                     0.5496                             +10.6600E+00                  
16420          0.0080436                     0.5502                             +10.6600E+00                  
16400          0.008047                      0.55                               +10.6600E+00                  
16380          0.0080502                     0.55                               +10.6600E+00                  
16360          0.0080531                     0.55                               +10.6600E+00                  
16340          0.0080521                     0.5503                             +10.6600E+00                  
16320          0.0080568                     0.5505                             +10.6600E+00                  
16300          0.0080584                     0.5504                             +10.6600E+00                  
16280          0.0080647                     0.5509                             +10.6600E+00                  
16260          0.0080586                     0.5506                             +10.6600E+00                  
16240          0.0080501                     0.5494                             +10.6300E+00                  
16220          0.0080464                     0.5494                             +10.6300E+00                  
16200          0.008055                      0.5495                             +10.6300E+00                  
16180          0.0080552                     0.5495                             +10.6300E+00                  
16160          0.0080592                     0.5498                             +10.6300E+00                  
16140          0.0080571                     0.55                               +10.6300E+00                  
16120          0.0080653                     0.55                               +10.6300E+00                  
16100          0.008066                      0.5502                             +10.6300E+00                  
16080          0.0080649                     0.5505                             +10.6300E+00                  
16060          0.0080727                     0.5506                             +10.6300E+00                  
16040          0.0080795                     0.5507                             +10.6300E+00                  
16020          0.0080781                     0.5507                             +10.6300E+00                  
16000          0.0080576                     0.5492                             +10.6000E+00                  
15980          0.0080554                     0.5494                             +10.6000E+00                  
15960          0.0080594                     0.5491                             +10.6000E+00                  
15940          0.0080616                     0.5494                             +10.6000E+00                  
15920          0.0080698                     0.5495                             +10.6000E+00                  
15900          0.0080745                     0.5498                             +10.6000E+00                  
15880          0.0080824                     0.5497                             +10.6000E+00                  
15860          0.0080766                     0.5499                             +10.6000E+00                  
15840          0.0080867                     0.55                               +10.6000E+00                  
15820          0.0080789                     0.55                               +10.6000E+00                  
15800          0.0080883                     0.5503                             +10.6000E+00                  
15780          0.0080871                     0.5505                             +10.6000E+00                  
15760          0.0080931                     0.5506                             +10.6000E+00                  
15740          0.0080927                     0.5507                             +10.6000E+00                  
15720          0.0081018                     0.5509                             +10.5900E+00                  
15700          0.0081102                     0.5508                             +10.5800E+00                  
15680          0.0081065                     0.5509                             +10.5700E+00                  
15660          0.0080825                     0.5498                             +10.5600E+00                  
15640          0.0080878                     0.5497                             +10.5600E+00                  
15620          0.0080878                     0.5499                             +10.5600E+00                  
15600          0.008096                      0.5499                             +10.5600E+00                  
15580          0.008096                      0.5496                             +10.5600E+00                  
15560          0.0080995                     0.5504                             +10.5600E+00                  
15540          0.0081069                     0.5504                             +10.5600E+00                  
15520          0.0081138                     0.5505                             +10.5600E+00                  
15500          0.008114                      0.5506                             +10.5600E+00                  
15480          0.008123                      0.5506                             +10.5600E+00                  
15460          0.0081225                     0.5509                             +10.5500E+00                  
15440          0.0080977                     0.5496                             +10.5300E+00                  
15420          0.0080955                     0.5492                             +10.5300E+00                  
15400          0.0081042                     0.5493                             +10.5300E+00                  
15380          0.008105                      0.5495                             +10.5300E+00                  
15360          0.0081084                     0.5498                             +10.5300E+00                  
15340          0.0081169                     0.55                               +10.5300E+00                  
15320          0.0081202                     0.55                               +10.5300E+00                  
15300          0.0081168                     0.55                               +10.5300E+00                  
15280          0.0081209                     0.5499                             +10.5300E+00                  
15260          0.0081219                     0.5504                             +10.5300E+00                  
15240          0.0081236                     0.5505                             +10.5300E+00                  
15220          0.008124                      0.5504                             +10.5300E+00                  
15200          0.0081231                     0.5505                             +10.5300E+00                  
15180          0.0081345                     0.5508                             +10.5300E+00                  
15160          0.0081396                     0.5509                             +10.5300E+00                  
15140          0.0081396                     0.5509                             +10.5100E+00                  
15120          0.0081206                     0.5495                             +10.5000E+00                  
15100          0.0081279                     0.5496                             +10.5000E+00                  
15080          0.0081259                     0.5499                             +10.5000E+00                  
15060          0.0081301                     0.55                               +10.5000E+00                  
15040          0.0081288                     0.5501                             +10.5000E+00                  
15020          0.00814                       0.5505                             +10.5000E+00                  
15000          0.0081423                     0.5504                             +10.5000E+00                  
14980          0.0081424                     0.5505                             +10.5000E+00                  
14960          0.0081427                     0.5504                             +10.5000E+00                  
14940          0.0081521                     0.5507                             +10.5000E+00                  
14920          0.0081498                     0.5508                             +10.5000E+00                  
14900          0.0081513                     0.5507                             +10.5000E+00                  
14880          0.0081517                     0.5509                             +10.4900E+00                  
14860          0.0081365                     0.5492                             +10.4600E+00                  
14840          0.0081435                     0.5497                             +10.4600E+00                  
14820          0.0081419                     0.5497                             +10.4600E+00                  
14800          0.0081453                     0.5495                             +10.4600E+00                  
14780          0.0081476                     0.5498                             +10.4600E+00                  
14760          0.0081478                     0.5503                             +10.4600E+00                  
14740          0.0081454                     0.5498                             +10.4600E+00                  
14720          0.0081483                     0.5503                             +10.4600E+00                  
14700          0.0081498                     0.5503                             +10.4600E+00                  
14680          0.0081551                     0.5506                             +10.4600E+00                  
14660          0.0081616                     0.5503                             +10.4600E+00                  
14640          0.008164                      0.5505                             +10.4600E+00                  
14620          0.0081621                     0.5504                             +10.4600E+00                  
14600          0.0081718                     0.5506                             +10.4600E+00                  
14580          0.0081677                     0.5508                             +10.4600E+00                  
14560          0.008176                      0.5508                             +10.4600E+00                  
14540          0.0081549                     0.5495                             +10.4300E+00                  
14520          0.0081576                     0.5497                             +10.4300E+00                  
14500          0.0081601                     0.5497                             +10.4300E+00                  
14480          0.0081692                     0.5498                             +10.4300E+00                  
14460          0.0081701                     0.55                               +10.4300E+00                  
14440          0.0081694                     0.5501                             +10.4300E+00                  
14420          0.0081706                     0.5499                             +10.4300E+00                  
14400          0.0081744                     0.55                               +10.4300E+00                  
14380          0.0081753                     0.5502                             +10.4300E+00                  
14360          0.0081806                     0.5503                             +10.4300E+00                  
14340          0.0081819                     0.5504                             +10.4300E+00                  
14320          0.0081883                     0.5507                             +10.4300E+00                  
14300          0.0081935                     0.5508                             +10.4300E+00                  
14280          0.0081684                     0.5495                             +10.4000E+00                  
