Messungen der Hall-Spannung/ Magnetfeldmessungen

------------------------------------------------
Datum: 2022_03_04
Version: v3.0-52-g9982156-dirty

Folgende Geräte werden verwendet:
---------------------------------
Gerät 1: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN61367122,02.11.2020062221
Gerät 2: KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b

Experiment Informationen:
Spulendurchmesser: 20 mm
Spulenwindungen:   60 je Spule
Vorwiderstand:     10 Ohm

Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Versorgungsspannung: 5 V
Strom-Limit:         200 mA

Voreinstellungen und Vormessung:
---------------------------
Start Amplitude:         12 V
Genutzte Funktion:       SIN
Keysight Channel (VRMS): 1
U_Hall_0:                2.3114 mV

Sollwert = 550.0 mV ± 1.0 mV --> Vpp Anpassung bei Abwweichung = 0.01 V
Messungen von 20000 Hz bis 20 Hz in -20 Hz Schritten

Frequenz [Hz]  Hall-Spannung [V]             Spannung (VRMS-AC) über R [V]      Amplitude Vpp (Gen_Out) [V]   
10760          0.0083738                     0.5498                             +10.0700E+00                  
10740          0.0083742                     0.55                               +10.0700E+00                  
10720          0.0083803                     0.55                               +10.0700E+00                  
10700          0.0083759                     0.5502                             +10.0700E+00                  
10680          0.0083781                     0.55                               +10.0700E+00                  
10660          0.0083803                     0.5502                             +10.0700E+00                  
10640          0.008382                      0.5505                             +10.0700E+00                  
10620          0.0083851                     0.5504                             +10.0700E+00                  
10600          0.0083842                     0.5505                             +10.0700E+00                  
10580          0.0083967                     0.5505                             +10.0700E+00                  
10560          0.0083987                     0.5506                             +10.0700E+00                  
10540          0.0083976                     0.5508                             +10.0700E+00                  
10520          0.0083999                     0.5509                             +10.0700E+00                  
10500          0.0083709                     0.5491                             +10.0400E+00                  
10480          0.0083736                     0.5495                             +10.0400E+00                  
10460          0.0083747                     0.5494                             +10.0400E+00                  
10440          0.0083827                     0.5496                             +10.0400E+00                  
10420          0.0083831                     0.5494                             +10.0400E+00                  
10400          0.0083884                     0.5495                             +10.0400E+00                  
10380          0.0083887                     0.5492                             +10.0400E+00                  
10360          0.0083938                     0.5497                             +10.0400E+00                  
10340          0.0083875                     0.5498                             +10.0400E+00                  
10320          0.0083951                     0.55                               +10.0400E+00                  
10300          0.0083962                     0.5499                             +10.0400E+00                  
10280          0.008393                      0.55                               +10.0400E+00                  
10260          0.0083992                     0.5503                             +10.0400E+00                  
10240          0.0083943                     0.5503                             +10.0400E+00                  
10220          0.0084048                     0.5502                             +10.0400E+00                  
10200          0.0084063                     0.5505                             +10.0400E+00                  
10180          0.0084079                     0.5505                             +10.0400E+00                  
10160          0.008409                      0.5505                             +10.0400E+00                  
10140          0.0084126                     0.5505                             +10.0400E+00                  
10120          0.008415                      0.5508                             +10.0400E+00                  
10100          0.0084156                     0.5508                             +10.0400E+00                  
10080          0.0084135                     0.5509                             +10.0200E+00                  
10060          0.0083959                     0.5494                             +10.0100E+00                  
10040          0.0083973                     0.5494                             +10.0100E+00                  
10020          0.0083994                     0.5494                             +10.0100E+00                  
10000          0.0083977                     0.5497                             +10.0100E+00                  
9980           0.0084054                     0.5494                             +10.0100E+00                  
9960           0.0084078                     0.5498                             +10.0100E+00                  
9940           0.0084071                     0.5497                             +10.0100E+00                  
9920           0.0084024                     0.5498                             +10.0100E+00                  
9900           0.0084086                     0.5502                             +10.0100E+00                  
9880           0.0084092                     0.55                               +10.0100E+00                  
9860           0.0084231                     0.55                               +10.0100E+00                  
9840           0.0084268                     0.5502                             +10.0100E+00                  
9820           0.0084283                     0.5502                             +10.0100E+00                  
9800           0.0084303                     0.5504                             +10.0100E+00                  
9780           0.0084267                     0.5505                             +10.0100E+00                  
9760           0.0084301                     0.5505                             +10.0100E+00                  
9740           0.0084315                     0.5508                             +10.0100E+00                  
9720           0.0084309                     0.5507                             +10.0100E+00                  
9700           0.0084329                     0.5508                             +10.0100E+00                  
9680           0.0084395                     0.5509                             +10.0000E+00                  
9660           0.00844                       0.5509                             +9.9800E+00                   
9640           0.0084192                     0.5492                             +9.9700E+00                   
9620           0.0084082                     0.5492                             +9.9700E+00                   
9600           0.0084199                     0.5492                             +9.9700E+00                   
9580           0.0084225                     0.5493                             +9.9700E+00                   
9560           0.008414                      0.5496                             +9.9700E+00                   
9540           0.00842                       0.5496                             +9.9700E+00                   
9520           0.0084257                     0.5495                             +9.9700E+00                   
9500           0.0084344                     0.5498                             +9.9700E+00                   
9480           0.0084335                     0.5499                             +9.9700E+00                   
9460           0.008439                      0.5499                             +9.9700E+00                   
9440           0.0084349                     0.55                               +9.9700E+00                   
9420           0.0084407                     0.5501                             +9.9700E+00                   
9400           0.0084443                     0.5501                             +9.9700E+00                   
9380           0.0084446                     0.5503                             +9.9700E+00                   
9360           0.0084453                     0.5502                             +9.9700E+00                   
9340           0.0084471                     0.5505                             +9.9700E+00                   
9320           0.0084565                     0.5506                             +9.9700E+00                   
9300           0.0084529                     0.5507                             +9.9700E+00                   
9280           0.0084463                     0.5507                             +9.9700E+00                   
9260           0.0084549                     0.5509                             +9.9700E+00                   
9240           0.0084533                     0.5509                             +9.9700E+00                   
9220           0.0084599                     0.5508                             +9.9600E+00                   
9200           0.0084538                     0.5509                             +9.9500E+00                   
9180           0.0084351                     0.5494                             +9.9400E+00                   
9160           0.0084416                     0.5494                             +9.9400E+00                   
9140           0.0084412                     0.5494                             +9.9400E+00                   
9120           0.0084444                     0.5494                             +9.9400E+00                   
9100           0.0084431                     0.5494                             +9.9400E+00                   
9080           0.008451                      0.5495                             +9.9400E+00                   
9060           0.0084504                     0.5496                             +9.9400E+00                   
9040           0.0084491                     0.5496                             +9.9400E+00                   
9020           0.0084501                     0.5497                             +9.9400E+00                   
9000           0.008437                      0.5498                             +9.9400E+00                   
8980           0.0084584                     0.55                               +9.9400E+00                   
8960           0.0084618                     0.5501                             +9.9400E+00                   
8940           0.0084634                     0.5502                             +9.9400E+00                   
8920           0.0084663                     0.5503                             +9.9400E+00                   
8900           0.0084693                     0.5503                             +9.9400E+00                   
8880           0.0084623                     0.5506                             +9.9400E+00                   
8860           0.0084705                     0.5504                             +9.9400E+00                   
8840           0.0084665                     0.5506                             +9.9400E+00                   
8820           0.0084697                     0.5508                             +9.9400E+00                   
8800           0.0084771                     0.5508                             +9.9400E+00                   
8780           0.0084825                     0.5509                             +9.9400E+00                   
8760           0.0084816                     0.5509                             +9.9400E+00                   
8740           0.0084871                     0.5509                             +9.9300E+00                   
8720           0.008481                      0.5509                             +9.9300E+00                   
8700           0.0084533                     0.5494                             +9.9100E+00                   
8680           0.0084581                     0.5495                             +9.9100E+00                   
8660           0.0084609                     0.5496                             +9.9100E+00                   
8640           0.0084635                     0.5495                             +9.9100E+00                   
8620           0.0084739                     0.5496                             +9.9100E+00                   
8600           0.0084713                     0.5497                             +9.9100E+00                   
8580           0.0084732                     0.5497                             +9.9100E+00                   
8560           0.0084746                     0.5499                             +9.9100E+00                   
8540           0.0084745                     0.5498                             +9.9100E+00                   
8520           0.0084811                     0.5498                             +9.9100E+00                   
8500           0.0084823                     0.55                               +9.9100E+00                   
8480           0.0084774                     0.55                               +9.9100E+00                   
8460           0.0084818                     0.5503                             +9.9100E+00                   
8440           0.0084808                     0.5503                             +9.9100E+00                   
8420           0.0084916                     0.5502                             +9.9100E+00                   
8400           0.0084932                     0.5503                             +9.9100E+00                   
8380           0.0084911                     0.5506                             +9.9100E+00                   
8360           0.0084956                     0.5506                             +9.9100E+00                   
8340           0.0084911                     0.5508                             +9.9100E+00                   
8320           0.0084978                     0.5506                             +9.9100E+00                   
8300           0.0085007                     0.5509                             +9.9100E+00                   
8280           0.0084934                     0.5509                             +9.9000E+00                   
8260           0.0084833                     0.5491                             +9.8700E+00                   
8240           0.0084745                     0.5494                             +9.8700E+00                   
8220           0.0084861                     0.5492                             +9.8700E+00                   
8200           0.0084825                     0.5496                             +9.8700E+00                   
8180           0.0084843                     0.5495                             +9.8700E+00                   
8160           0.0084864                     0.5494                             +9.8700E+00                   
8140           0.0084874                     0.5497                             +9.8700E+00                   
8120           0.0084888                     0.5496                             +9.8700E+00                   
8100           0.0084914                     0.5496                             +9.8700E+00                   
8080           0.0084974                     0.5499                             +9.8700E+00                   
8060           0.0084968                     0.55                               +9.8700E+00                   
8040           0.0085055                     0.5498                             +9.8700E+00                   
8020           0.0085015                     0.5501                             +9.8700E+00                   
8000           0.0084986                     0.55                               +9.8700E+00                   
7980           0.0085019                     0.55                               +9.8700E+00                   
7960           0.0085045                     0.5503                             +9.8700E+00                   
7940           0.0085041                     0.5503                             +9.8700E+00                   
7920           0.0085015                     0.5503                             +9.8700E+00                   
7900           0.0085084                     0.5504                             +9.8700E+00                   
7880           0.0085214                     0.5506                             +9.8700E+00                   
7860           0.0085173                     0.5506                             +9.8700E+00                   
7840           0.0085185                     0.5505                             +9.8700E+00                   
7820           0.0085145                     0.5506                             +9.8700E+00                   
7800           0.0085235                     0.5506                             +9.8700E+00                   
7780           0.0085203                     0.5508                             +9.8700E+00                   
7760           0.0085242                     0.5509                             +9.8500E+00                   
7740           0.0084967                     0.5492                             +9.8400E+00                   
7720           0.008498                      0.5492                             +9.8400E+00                   
7700           0.0085119                     0.5494                             +9.8400E+00                   
7680           0.0085037                     0.5493                             +9.8400E+00                   
7660           0.0085046                     0.5496                             +9.8400E+00                   
7640           0.0085079                     0.5496                             +9.8400E+00                   
7620           0.0085082                     0.5496                             +9.8400E+00                   
7600           0.0085076                     0.5498                             +9.8400E+00                   
7580           0.0085146                     0.5498                             +9.8400E+00                   
7560           0.0085109                     0.5499                             +9.8400E+00                   
7540           0.0085127                     0.55                               +9.8400E+00                   
7520           0.0085263                     0.5499                             +9.8400E+00                   
7500           0.0085206                     0.5501                             +9.8400E+00                   
7480           0.0085202                     0.5501                             +9.8400E+00                   
7460           0.0085222                     0.5502                             +9.8400E+00                   
7440           0.0085188                     0.5503                             +9.8400E+00                   
7420           0.0085234                     0.5504                             +9.8400E+00                   
7400           0.0085249                     0.5504                             +9.8400E+00                   
7380           0.0085236                     0.5506                             +9.8400E+00                   
7360           0.0085205                     0.5506                             +9.8400E+00                   
7340           0.0085357                     0.5506                             +9.8400E+00                   
7320           0.0085374                     0.5506                             +9.8400E+00                   
7300           0.0085364                     0.5506                             +9.8400E+00                   
7280           0.0085364                     0.5508                             +9.8400E+00                   
7260           0.0085358                     0.5509                             +9.8300E+00                   
7240           0.0085412                     0.5509                             +9.8200E+00                   
7220           0.0085082                     0.5493                             +9.8100E+00                   
7200           0.0085203                     0.5492                             +9.8100E+00                   
7180           0.0085128                     0.5494                             +9.8100E+00                   
7160           0.0085266                     0.5494                             +9.8100E+00                   
7140           0.0085229                     0.5496                             +9.8100E+00                   
7120           0.0085262                     0.5495                             +9.8100E+00                   
7100           0.0085286                     0.5497                             +9.8100E+00                   
7080           0.008525                      0.5498                             +9.8100E+00                   
7060           0.0085273                     0.5497                             +9.8100E+00                   
7040           0.0085231                     0.5499                             +9.8100E+00                   
7020           0.0085279                     0.55                               +9.8100E+00                   
7000           0.008537                      0.55                               +9.8100E+00                   
6980           0.0085369                     0.5501                             +9.8100E+00                   
6960           0.0085446                     0.5501                             +9.8100E+00                   
6940           0.0085409                     0.5503                             +9.8100E+00                   
6920           0.0085485                     0.5502                             +9.8100E+00                   
6900           0.0085437                     0.5503                             +9.8100E+00                   
6880           0.0085456                     0.5503                             +9.8100E+00                   
6860           0.0085471                     0.5504                             +9.8100E+00                   
6840           0.0085502                     0.5506                             +9.8100E+00                   
6820           0.0085491                     0.5507                             +9.8100E+00                   
6800           0.0085537                     0.5508                             +9.8100E+00                   
6780           0.0085641                     0.5508                             +9.8100E+00                   
6760           0.0085556                     0.5507                             +9.8100E+00                   
6740           0.0085566                     0.5508                             +9.8000E+00                   
6720           0.0085609                     0.5507                             +9.8000E+00                   
6700           0.0085342                     0.5493                             +9.7800E+00                   
6680           0.0085279                     0.5492                             +9.7800E+00                   
6660           0.008529                      0.5492                             +9.7800E+00                   
6640           0.008536                      0.5494                             +9.7800E+00                   
6620           0.0085455                     0.5493                             +9.7800E+00                   
6600           0.0085458                     0.5495                             +9.7800E+00                   
6580           0.0085481                     0.5495                             +9.7800E+00                   
6560           0.0085457                     0.5497                             +9.7800E+00                   
6540           0.00855                       0.5498                             +9.7800E+00                   
6520           0.0085454                     0.5498                             +9.7800E+00                   
6500           0.0085464                     0.5498                             +9.7800E+00                   
6480           0.0085529                     0.5498                             +9.7800E+00                   
6460           0.0085527                     0.5499                             +9.7800E+00                   
6440           0.0085621                     0.5501                             +9.7800E+00                   
6420           0.0085624                     0.5501                             +9.7800E+00                   
6400           0.0085619                     0.55                               +9.7800E+00                   
6380           0.0085598                     0.5502                             +9.7800E+00                   
6360           0.0085608                     0.5501                             +9.7800E+00                   
6340           0.0085597                     0.5504                             +9.7800E+00                   
6320           0.0085635                     0.5503                             +9.7800E+00                   
6300           0.0085613                     0.5504                             +9.7800E+00                   
6280           0.008566                      0.5505                             +9.7800E+00                   
6260           0.008565                      0.5504                             +9.7800E+00                   
6240           0.0085705                     0.5506                             +9.7800E+00                   
6220           0.0085733                     0.5506                             +9.7800E+00                   
6200           0.0085792                     0.5505                             +9.7800E+00                   
6180           0.0085795                     0.5509                             +9.7800E+00                   
6160           0.0085721                     0.5508                             +9.7800E+00                   
6140           0.0085715                     0.5508                             +9.7800E+00                   
6120           0.0085512                     0.5491                             +9.7400E+00                   
6100           0.0085508                     0.5493                             +9.7400E+00                   
6080           0.0085579                     0.5493                             +9.7400E+00                   
6060           0.008558                      0.5494                             +9.7400E+00                   
6040           0.0085582                     0.5496                             +9.7400E+00                   
6020           0.008561                      0.5497                             +9.7400E+00                   
6000           0.0085579                     0.5496                             +9.7400E+00                   
5980           0.0085598                     0.5496                             +9.7400E+00                   
5960           0.0085658                     0.5498                             +9.7400E+00                   
5940           0.008564                      0.5498                             +9.7400E+00                   
5920           0.0085676                     0.55                               +9.7400E+00                   
5900           0.0085669                     0.55                               +9.7400E+00                   
5880           0.0085787                     0.5501                             +9.7400E+00                   
5860           0.0085743                     0.55                               +9.7400E+00                   
5840           0.0085797                     0.55                               +9.7400E+00                   
5820           0.0085811                     0.5501                             +9.7400E+00                   
5800           0.0085713                     0.5501                             +9.7400E+00                   
5780           0.0085744                     0.5503                             +9.7400E+00                   
5760           0.0085782                     0.5503                             +9.7400E+00                   
5740           0.0085795                     0.5505                             +9.7400E+00                   
5720           0.0085797                     0.5504                             +9.7400E+00                   
5700           0.0085816                     0.5505                             +9.7400E+00                   
5680           0.0085894                     0.5505                             +9.7400E+00                   
5660           0.0085891                     0.5507                             +9.7400E+00                   
5640           0.0085918                     0.5506                             +9.7400E+00                   
5620           0.0085884                     0.5508                             +9.7400E+00                   
5600           0.0085872                     0.5508                             +9.7400E+00                   
5580           0.0085884                     0.5509                             +9.7400E+00                   
5560           0.0085919                     0.5509                             +9.7300E+00                   
5540           0.0085641                     0.5492                             +9.7100E+00                   
5520           0.0085767                     0.5494                             +9.7100E+00                   
5500           0.0085742                     0.5493                             +9.7100E+00                   
5480           0.0085797                     0.5493                             +9.7100E+00                   
5460           0.0085724                     0.5492                             +9.7100E+00                   
5440           0.008578                      0.5494                             +9.7100E+00                   
5420           0.008579                      0.5496                             +9.7100E+00                   
5400           0.0085762                     0.5496                             +9.7100E+00                   
5380           0.0085862                     0.5495                             +9.7100E+00                   
5360           0.0085785                     0.5497                             +9.7100E+00                   
5340           0.008587                      0.5498                             +9.7100E+00                   
5320           0.0085858                     0.5497                             +9.7100E+00                   
5300           0.0085887                     0.5497                             +9.7100E+00                   
5280           0.0085943                     0.5498                             +9.7100E+00                   
5260           0.0085898                     0.55                               +9.7100E+00                   
5240           0.0085872                     0.55                               +9.7100E+00                   
5220           0.0085897                     0.5498                             +9.7100E+00                   
5200           0.0085876                     0.5499                             +9.7100E+00                   
5180           0.0085953                     0.5501                             +9.7100E+00                   
5160           0.00859                       0.5502                             +9.7100E+00                   
5140           0.0085996                     0.5502                             +9.7100E+00                   
5120           0.0086007                     0.5502                             +9.7100E+00                   
5100           0.0086013                     0.5504                             +9.7100E+00                   
5080           0.0086066                     0.5503                             +9.7100E+00                   
5060           0.0086018                     0.5505                             +9.7100E+00                   
5040           0.0086079                     0.5505                             +9.7100E+00                   
5020           0.0085974                     0.5506                             +9.7100E+00                   
5000           0.0085891                     0.5506                             +9.7100E+00                   
4980           0.0086047                     0.5506                             +9.7100E+00                   
4960           0.008605                      0.5507                             +9.7100E+00                   
4940           0.0086077                     0.5506                             +9.7100E+00                   
4920           0.0086113                     0.5507                             +9.7100E+00                   
4900           0.0086119                     0.5509                             +9.7100E+00                   
4880           0.0086152                     0.5508                             +9.7100E+00                   
4860           0.0086126                     0.5509                             +9.7000E+00                   
4840           0.008614                      0.5509                             +9.7000E+00                   
4820           0.0086151                     0.5509                             +9.7000E+00                   
4800           0.0085893                     0.5493                             +9.6800E+00                   
4780           0.0085936                     0.5494                             +9.6800E+00                   
4760           0.0085927                     0.5494                             +9.6800E+00                   
4740           0.0085975                     0.5495                             +9.6800E+00                   
4720           0.0085945                     0.5495                             +9.6800E+00                   
4700           0.0086074                     0.5496                             +9.6800E+00                   
4680           0.0086025                     0.5496                             +9.6800E+00                   
4660           0.0085991                     0.5498                             +9.6800E+00                   
4640           0.0085959                     0.5497                             +9.6800E+00                   
4620           0.0085977                     0.5497                             +9.6800E+00                   
4600           0.0086097                     0.5499                             +9.6800E+00                   
4580           0.0086128                     0.5498                             +9.6800E+00                   
4560           0.0086054                     0.5499                             +9.6800E+00                   
4540           0.0086094                     0.5499                             +9.6800E+00                   
4520           0.0086078                     0.5499                             +9.6800E+00                   
4500           0.0086101                     0.55                               +9.6800E+00                   
4480           0.0086077                     0.5501                             +9.6800E+00                   
4460           0.0086097                     0.55                               +9.6800E+00                   
4440           0.0086048                     0.55                               +9.6800E+00                   
4420           0.0086104                     0.5501                             +9.6800E+00                   
4400           0.0086178                     0.5502                             +9.6800E+00                   
4380           0.0086185                     0.5503                             +9.6800E+00                   
4360           0.00862                       0.5503                             +9.6800E+00                   
4340           0.0086203                     0.5504                             +9.6800E+00                   
4320           0.0086167                     0.5505                             +9.6800E+00                   
4300           0.0086211                     0.5504                             +9.6800E+00                   
4280           0.0086215                     0.5505                             +9.6800E+00                   
4260           0.0086153                     0.5506                             +9.6800E+00                   
4240           0.0086269                     0.5505                             +9.6800E+00                   
4220           0.0086254                     0.5506                             +9.6800E+00                   
4200           0.0086353                     0.5507                             +9.6800E+00                   
4180           0.0086277                     0.5506                             +9.6800E+00                   
4160           0.0086334                     0.5507                             +9.6800E+00                   
4140           0.0086346                     0.5506                             +9.6800E+00                   
4120           0.008631                      0.5509                             +9.6800E+00                   
4100           0.0086299                     0.5509                             +9.6600E+00                   
4080           0.0086363                     0.5509                             +9.6600E+00                   
4060           0.0086319                     0.5509                             +9.6600E+00                   
4040           0.0086145                     0.5491                             +9.6500E+00                   
4020           0.0086159                     0.5491                             +9.6500E+00                   
4000           0.0086181                     0.5492                             +9.6500E+00                   
3980           0.0086236                     0.5493                             +9.6500E+00                   
3960           0.0086145                     0.5494                             +9.6500E+00                   
3940           0.0086211                     0.5493                             +9.6500E+00                   
3920           0.0086181                     0.5494                             +9.6500E+00                   
3900           0.0086201                     0.5494                             +9.6500E+00                   
3880           0.0086304                     0.5494                             +9.6500E+00                   
3860           0.0086251                     0.5496                             +9.6500E+00                   
3840           0.0086287                     0.5495                             +9.6500E+00                   
3820           0.0086282                     0.5496                             +9.6500E+00                   
3800           0.0086306                     0.5497                             +9.6500E+00                   
3780           0.0086233                     0.5497                             +9.6500E+00                   
3760           0.0086213                     0.5497                             +9.6500E+00                   
3740           0.0086308                     0.5498                             +9.6500E+00                   
3720           0.0086302                     0.5499                             +9.6500E+00                   
3700           0.008628                      0.5497                             +9.6500E+00                   
3680           0.0086346                     0.5499                             +9.6500E+00                   
3660           0.0086338                     0.5499                             +9.6500E+00                   
3640           0.0086408                     0.5499                             +9.6500E+00                   
3620           0.0086407                     0.5499                             +9.6500E+00                   
3600           0.0086396                     0.55                               +9.6500E+00                   
3580           0.0086403                     0.5499                             +9.6500E+00                   
3560           0.0086378                     0.5501                             +9.6500E+00                   
3540           0.0086388                     0.5502                             +9.6500E+00                   
3520           0.0086387                     0.5502                             +9.6500E+00                   
3500           0.008647                      0.5501                             +9.6500E+00                   
3480           0.0086461                     0.5502                             +9.6500E+00                   
3460           0.0086433                     0.5502                             +9.6500E+00                   
3440           0.0086485                     0.5503                             +9.6500E+00                   
3420           0.0086462                     0.5503                             +9.6500E+00                   
3400           0.0086478                     0.5504                             +9.6500E+00                   
3380           0.0086458                     0.5502                             +9.6500E+00                   
3360           0.0086455                     0.5504                             +9.6500E+00                   
3340           0.0086477                     0.5504                             +9.6500E+00                   
3320           0.0086425                     0.5504                             +9.6500E+00                   
3300           0.0086549                     0.5505                             +9.6500E+00                   
3280           0.008658                      0.5505                             +9.6500E+00                   
3260           0.0086582                     0.5505                             +9.6500E+00                   
3240           0.0086578                     0.5505                             +9.6500E+00                   
3220           0.008656                      0.5506                             +9.6500E+00                   
3200           0.0086559                     0.5507                             +9.6500E+00                   
3180           0.0086587                     0.5508                             +9.6500E+00                   
3160           0.0086508                     0.5507                             +9.6500E+00                   
3140           0.0086665                     0.5506                             +9.6500E+00                   
3120           0.0086679                     0.5507                             +9.6500E+00                   
3100           0.0086574                     0.5508                             +9.6500E+00                   
3080           0.0086636                     0.5506                             +9.6500E+00                   
3060           0.0086588                     0.5509                             +9.6500E+00                   
3040           0.008663                      0.5509                             +9.6400E+00                   
3020           0.0086638                     0.5509                             +9.6300E+00                   
3000           0.0086907                     0.5493                             +9.6100E+00                   
2980           0.0086283                     0.5494                             +9.6100E+00                   
2960           0.0086339                     0.5494                             +9.6100E+00                   
2940           0.0086459                     0.5495                             +9.6100E+00                   
2920           0.0086548                     0.5494                             +9.6100E+00                   
2900           0.0086518                     0.5495                             +9.6100E+00                   
2880           0.0086463                     0.5495                             +9.6100E+00                   
2860           0.008646                      0.5496                             +9.6100E+00                   
2840           0.0086487                     0.5496                             +9.6100E+00                   
2820           0.0086519                     0.5496                             +9.6100E+00                   
2800           0.0086411                     0.5497                             +9.6100E+00                   
2780           0.0086472                     0.5497                             +9.6100E+00                   
2760           0.008652                      0.5497                             +9.6100E+00                   
2740           0.0086495                     0.5497                             +9.6100E+00                   
2720           0.0086601                     0.5498                             +9.6100E+00                   
2700           0.0086561                     0.5498                             +9.6100E+00                   
2680           0.0086561                     0.5498                             +9.6100E+00                   
2660           0.0086578                     0.5498                             +9.6100E+00                   
2640           0.0086533                     0.5498                             +9.6100E+00                   
2620           0.0086579                     0.55                               +9.6100E+00                   
2600           0.0086583                     0.5499                             +9.6100E+00                   
2580           0.008659                      0.5499                             +9.6100E+00                   
2560           0.0086674                     0.55                               +9.6100E+00                   
2540           0.0086651                     0.5499                             +9.6100E+00                   
2520           0.0086677                     0.55                               +9.6100E+00                   
2500           0.0086702                     0.55                               +9.6100E+00                   
2480           0.0086628                     0.55                               +9.6100E+00                   
2460           0.0086661                     0.5502                             +9.6100E+00                   
2440           0.0086634                     0.5502                             +9.6100E+00                   
2420           0.0086718                     0.5502                             +9.6100E+00                   
2400           0.0086708                     0.5502                             +9.6100E+00                   
2380           0.0086704                     0.5503                             +9.6100E+00                   
2360           0.008673                      0.5503                             +9.6100E+00                   
2340           0.0086725                     0.5502                             +9.6100E+00                   
2320           0.0086752                     0.5502                             +9.6100E+00                   
2300           0.0086733                     0.5503                             +9.6100E+00                   
2280           0.0086672                     0.5501                             +9.6100E+00                   
2260           0.0086785                     0.5502                             +9.6100E+00                   
2240           0.0086748                     0.5503                             +9.6100E+00                   
2220           0.0086715                     0.5503                             +9.6100E+00                   
2200           0.0086817                     0.5504                             +9.6100E+00                   
2180           0.0086756                     0.5503                             +9.6100E+00                   
2160           0.0086827                     0.5504                             +9.6100E+00                   
2140           0.0086814                     0.5504                             +9.6100E+00                   
2120           0.0086803                     0.5504                             +9.6100E+00                   
2100           0.0086832                     0.5505                             +9.6100E+00                   
2080           0.0086827                     0.5504                             +9.6100E+00                   
2060           0.008681                      0.5505                             +9.6100E+00                   
2040           0.0086775                     0.5506                             +9.6100E+00                   
2020           0.0086806                     0.5505                             +9.6100E+00                   
2000           0.0086942                     0.5504                             +9.6100E+00                   
1980           0.0086914                     0.5505                             +9.6100E+00                   
1960           0.0086912                     0.5505                             +9.6100E+00                   
1940           0.0086915                     0.5506                             +9.6100E+00                   
1920           0.0086878                     0.5507                             +9.6100E+00                   
1900           0.0086914                     0.5507                             +9.6100E+00                   
1880           0.0086845                     0.5506                             +9.6100E+00                   
1860           0.0086859                     0.5506                             +9.6100E+00                   
1840           0.0086872                     0.5506                             +9.6100E+00                   
1820           0.0086919                     0.5507                             +9.6100E+00                   
1800           0.0086943                     0.5507                             +9.6100E+00                   
1780           0.0086975                     0.5508                             +9.6100E+00                   
1760           0.0086942                     0.5508                             +9.6100E+00                   
1740           0.0087019                     0.5507                             +9.6100E+00                   
1720           0.0087028                     0.5508                             +9.6100E+00                   
1700           0.0086929                     0.5508                             +9.6100E+00                   
1680           0.0087045                     0.5508                             +9.6100E+00                   
1660           0.0087002                     0.5509                             +9.6100E+00                   
1640           0.0087012                     0.5509                             +9.5900E+00                   
1620           0.0086751                     0.5491                             +9.5800E+00                   
1600           0.0086753                     0.5492                             +9.5800E+00                   
1580           0.0086724                     0.5491                             +9.5800E+00                   
1560           0.0086774                     0.5491                             +9.5800E+00                   
1540           0.0086788                     0.5493                             +9.5800E+00                   
1520           0.0086776                     0.5491                             +9.5800E+00                   
1500           0.0086751                     0.5492                             +9.5800E+00                   
1480           0.0086783                     0.5492                             +9.5800E+00                   
1460           0.0086863                     0.5492                             +9.5800E+00                   
1440           0.0086777                     0.5493                             +9.5800E+00                   
1420           0.008685                      0.5493                             +9.5800E+00                   
1400           0.0086798                     0.5494                             +9.5800E+00                   
1380           0.0086821                     0.5493                             +9.5800E+00                   
1360           0.0086771                     0.5493                             +9.5800E+00                   
1340           0.0086781                     0.5493                             +9.5800E+00                   
1320           0.0086805                     0.5492                             +9.5800E+00                   
1300           0.0086785                     0.5494                             +9.5800E+00                   
1280           0.0086862                     0.5493                             +9.5800E+00                   
1260           0.0086879                     0.5491                             +9.5800E+00                   
1240           0.0086832                     0.5492                             +9.5800E+00                   
1220           0.0086868                     0.5493                             +9.5800E+00                   
1200           0.008684                      0.5494                             +9.5800E+00                   
1180           0.0086823                     0.5493                             +9.5800E+00                   
1160           0.0086917                     0.5494                             +9.5800E+00                   
1140           0.008677                      0.5493                             +9.5800E+00                   
1120           0.0086889                     0.5493                             +9.5800E+00                   
1100           0.0086762                     0.5495                             +9.5800E+00                   
1080           0.0086927                     0.5494                             +9.5800E+00                   
1060           0.008704                      0.5494                             +9.5800E+00                   
1040           0.0086929                     0.5495                             +9.5800E+00                   
1020           0.008699                      0.5494                             +9.5800E+00                   
1000           0.0086807                     0.5494                             +9.5800E+00                   
980            0.0086922                     0.5494                             +9.5800E+00                   
960            0.0087015                     0.5495                             +9.5800E+00                   
940            0.0086935                     0.5495                             +9.5800E+00                   
920            0.0086926                     0.5495                             +9.5800E+00                   
900            0.008692                      0.5496                             +9.5800E+00                   
880            0.0086992                     0.5496                             +9.5800E+00                   
860            0.0087033                     0.5495                             +9.5800E+00                   
840            0.0087048                     0.5496                             +9.5800E+00                   
820            0.0086953                     0.5496                             +9.5800E+00                   
800            0.0087038                     0.5495                             +9.5800E+00                   
780            0.0087026                     0.5496                             +9.5800E+00                   
760            0.0086994                     0.5495                             +9.5800E+00                   
740            0.0086931                     0.5495                             +9.5800E+00                   
