Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 3.5 cm über Boden - Aufwärts bis 11.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

abs. Zeit      rel. Zeit [s]       Hall-Spannung [V]             
14:18:27       280.0               0.039398                      
14:18:29       281.6               0.039547                      
14:18:30       283.2               0.039355                      
14:18:32       284.9               0.039492                      
14:18:34       286.5               0.040183                      
14:18:35       288.1               0.039644                      
14:18:37       289.7               0.039830                      
14:18:39       291.3               0.039843                      
14:18:40       293.0               0.039853                      
14:18:42       294.6               0.039627                      
14:18:43       296.2               0.039913                      
14:18:45       297.8               0.039701                      
14:18:47       299.5               0.039706                      
14:18:48       301.1               0.039807                      
14:18:50       302.7               0.039733                      
14:18:52       304.3               0.040133                      
14:18:53       305.9               0.039794                      
14:18:55       307.6               0.039883                      
14:18:56       309.2               0.039881                      
14:18:58       310.8               0.039929                      
14:19:00       312.4               0.039864                      
14:19:01       314.0               0.040412                      
14:19:03       315.6               0.040085                      
14:19:04       317.3               0.039881                      
14:19:06       318.9               0.039772                      
14:19:08       320.5               0.039987                      
14:19:09       322.1               0.040012                      
14:19:11       323.8               0.040095                      
14:19:13       325.4               0.040091                      
14:19:14       327.0               0.039938                      
14:19:16       328.6               0.040031                      
14:19:17       330.2               0.039925                      
14:19:19       331.8               0.040328                      
14:19:21       333.5               0.040100                      
14:19:22       335.1               0.039849                      
14:19:24       336.7               0.039943                      
14:19:26       338.3               0.039853                      
14:19:27       339.9               0.039829                      
14:19:29       341.6               0.039975                      
14:19:30       343.2               0.039952                      
14:19:32       344.8               0.039859                      
14:19:34       346.4               0.039662                      
14:19:35       348.3               0.039705                      
14:19:37       349.9               0.040052                      
14:19:39       351.8               0.039683                      
14:19:41       353.4               0.039538                      
14:19:42       355.1               0.039723                      
14:19:44       356.7               0.039570                      
14:19:46       358.3               0.039541                      
14:19:47       359.9               0.039766                      
14:19:49       361.6               0.039476                      
14:19:50       363.2               0.039335                      
14:19:52       364.8               0.039467                      
14:19:54       366.4               0.039306                      
14:19:55       368.0               0.039699                      
14:19:57       369.7               0.039357                      
14:19:58       371.3               0.039201                      
14:20:00       372.9               0.039272                      
14:20:02       374.5               0.039204                      
14:20:03       376.1               0.039009                      
14:20:05       377.8               0.039536                      
14:20:07       379.4               0.039143                      
14:20:08       381.0               0.038912                      
14:20:10       382.6               0.038844                      
14:20:11       384.2               0.038907                      
14:20:13       385.9               0.038831                      
14:20:15       387.5               0.038938                      
14:20:16       389.1               0.038739                      
14:20:18       390.7               0.038615                      
14:20:20       392.3               0.038578                      
14:20:21       394.0               0.038473                      
14:20:23       395.6               0.038923                      
14:20:24       397.3               0.038378                      
14:20:26       398.9               0.038315                      
14:20:28       400.5               0.038277                      
14:20:29       402.2               0.038148                      
14:20:31       403.8               0.038172                      
14:20:33       405.4               0.038352                      
14:20:34       407.0               0.038029                      
14:20:36       408.7               0.037992                      
14:20:37       410.3               0.037867                      
14:20:39       411.9               0.037766                      
14:20:41       413.6               0.037921                      
14:20:42       415.2               0.037808                      
14:20:44       416.8               0.037593                      
14:20:46       418.4               0.037543                      
14:20:47       420.1               0.037434                      
14:20:49       421.7               0.037327                      
14:20:51       423.4               0.037735                      
14:20:52       425.0               0.037226                      
14:20:54       426.6               0.037094                      
14:20:56       428.4               0.037088                      
14:20:57       430.2               0.036934                      
14:20:59       432.0               0.037272                      
14:21:01       433.6               0.036836                      
14:21:03       435.3               0.036710                      
14:21:04       437.0               0.036697                      
14:21:06       438.7               0.036459                      
14:21:08       440.3               0.036516                      
14:21:09       441.9               0.036516                      
14:21:11       443.6               0.036185                      
14:21:12       445.2               0.036106                      
14:21:14       446.8               0.036154                      
14:21:16       448.4               0.035975                      
14:21:17       450.1               0.036302                      
14:21:19       451.7               0.035901                      
14:21:21       453.3               0.035711                      
14:21:22       454.9               0.035623                      
14:21:24       456.6               0.035573                      
14:21:25       458.2               0.035451                      
14:21:27       459.8               0.035811                      
14:21:29       461.4               0.035259                      
